,AFG,AGO,ALB,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ESP,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,ROU,RUS,RWA,SAU,SDN,SEN,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2019-09-30,58754.0,,,,103.0,,,400.0,,,,,,75484.0,,,70000.0,,,,716.0,255.0,,,,35091.0,421.0,,,30443.0,14.0,,48395.0,,,,,175.0,,,,,,,,4908.0,2.0,60.0,,5956.0,77000.0,,,172.0,,,,,,,,,,,,,,,120.0,,233631.0,124117.0,,,2000.0,,,,,,4572.0,,780.0,,53263.0,57.0,,102416.0,,,33959.0,,46604.0,,,,,2.0,,,,4402.0,,,,3700.0,,,3147.0,6630.0,,,87.0,,68346.0,34547.0,,,,336.0,19.0,750.0,10852.0,,,19413.0,,,,6362.0,,,,,,,,228338.0,,4.0,,22.0,47.0,,71589.0,,,,,,,,,8394.0,,28885.0,,,,3.0,,,,,2465.0,4.0,,457310.0,,,80.0,10934.0,,,,1015.0,,
2019-10-31,35069.0,,,100.0,5300.0,,,143.0,,,236.0,,,19004.0,244.0,,,,,,,18779.0,,,,500.0,6028.0,,,3618.0,722.0,25012.0,329096.0,50000.0,11319.0,,,83.0,,,,,,,,,,19.0,,,147740.0,,20.0,680.0,,,136.0,,2967.0,18.0,,,,,8020.0,,300.0,,65.0,,30892.0,12401.0,,604.0,652.0,,,178.0,,,237008.0,,24981.0,,,1546.0,,,200.0,,,,1661.0,,,,,,,,252.0,5961.0,,,6233.0,369.0,,,132.0,,,,4195.0,,23011.0,36480.0,19.0,,,,,329.0,1142.0,,156.0,29992.0,,,,,53.0,315.0,75.0,,59.0,,16.0,2031.0,6158.0,,,1850.0,334155.0,,429931.0,,,,,,,,,1468.0,,,,,,,,2024.0,,1445.0,4860.0,,611.0,388948.0,,,,86.0,,,401414.0,,,400.0
2019-11-30,433766.0,500.0,,20.0,147.0,,,283.0,209.0,,496.0,10.0,,12.0,2106918.0,,3000.0,,,,,12233.0,,,,60481.0,985.0,,150.0,935.0,10.0,2230.0,89263.0,,5650.0,,,30.0,,,,,5000.0,,,,,26.0,,17654.0,57000.0,,,4095.0,,,3123.0,,,,,,,,5037.0,,,,114.0,,3790.0,189064.0,,13653.0,419.0,,54.0,882.0,,,,,19500.0,,6173.0,,,124.0,,,,,,,,,,,,548.0,,5723.0,200.0,,19569.0,3113.0,,,406.0,,49.0,,1029.0,,964.0,33923.0,490.0,,,78.0,,,4.0,32.0,55.0,105443.0,,479.0,,,,,244.0,,52.0,,,22.0,,,,,27778.0,,,,,,,,,,222392.0,912.0,,,,,,,,,,,882.0,16.0,114.0,19194.0,,,,20000.0,,,18651.0,7.0,,
2019-12-31,32635.0,60.0,,,,,,2298.0,,,9968.0,,185.0,,,,14000.0,,,,,3414.0,,,,,330.0,,735.0,60.0,,16595.0,35165.0,3002.0,10101.0,,,7.0,,,,,,,,,,30.0,,104.0,55000.0,,2500.0,886.0,,,575.0,,,,,,,,3535.0,,,,,,47619.0,520.0,,,325.0,,,616.0,,,,,505.0,,,,,,1342.0,,1600.0,,,,,,,,,2300.0,,570.0,,,2534.0,6190.0,,,3497.0,,335.0,103.0,51636.0,,7670.0,172.0,,,,,135.0,,1217.0,,309.0,2066340.0,,,,,566.0,,205.0,,,6478.0,,5700.0,,,,,14500.0,,4490.0,,,,,,,,2850.0,1700.0,,642.0,,,,45.0,,,,957.0,57417.0,,2100.0,90.0,,,,,,,9817.0,319.0,1252.0,
2020-01-31,36491.0,1518.0,,600.0,722.0,,,82002.0,,,13765.0,,,4.0,,,,,,,164.0,105000.0,,,,36264.0,170.0,,117.0,8000.0,200.0,7990.0,211909.0,8.0,4203.0,,,632.0,2000.0,,,,,,,,,50.0,,500.0,2000.0,,3215.0,2000.0,,,,,,,,,,,4084.0,,,,,,415260.0,56.0,,,,,11.0,7.0,,,,,1552.0,254.0,,,,,,,13408.0,,,,,,,,,17857.0,,800.0,,,11957.0,2453.0,,,14322.0,,51.0,,212.0,,2371.0,7206.0,77.0,,,,4.0,18.0,16270.0,,281.0,512379.0,,181.0,,,,,28.0,,,,,41227.0,,,,,,,27344.0,,,,,,,,350000.0,7279.0,,,,77.0,,,,317.0,200.0,288.0,118.0,,2.0,91.0,,,,4.0,,,,4.0,640.0,35.0
2020-02-29,36750.0,9935.0,,,1541.0,,,13011.0,,,24321.0,,,150000.0,,,,,,,1149.0,22293.0,,,,27499.0,95.0,,2619.0,200.0,,12651.0,434094.0,,2886.0,,,,,,,2.0,,,,,,325.0,,1420.0,7200.0,,,,,,818.0,,200.0,66.0,,,,,,,,,,,60271.0,380.0,5.0,30204.0,,,,,,,,23000.0,3530.0,,,,,,231.0,,765.0,,,,,2.0,,,,,,,,,10630.0,8645.0,,,2188.0,,,1845.0,50.0,,6123.0,8294.0,,,,,2667.0,,25.0,,3359.0,855.0,,,,,,5.0,64.0,,,60.0,,37659.0,,,,,,,16179.0,,,,,,,,,4405.0,,,,,,,,29448.0,,,666.0,,,2317.0,,,,,,,32500.0,257.0,559.0,148.0
2020-03-31,115398.0,11241.0,,,131.0,,,,,,1746.0,,,60000.0,,,,,,,12130.0,15870.0,,,,26133.0,,,,,10.0,2477.0,171754.0,,4233.0,,,,,,,,,,,,,,,,39200.0,,,51.0,,10.0,40.0,,,,,,,,11910.0,,885.0,200.0,8.0,,7826.0,658.0,,300.0,975.0,10.0,2000.0,14.0,,138.0,1.0,,386.0,,,,,,,,4650.0,,6.0,,,,,,,80.0,,1043.0,,,24058.0,29708.0,,,24210.0,,62.0,,18.0,200.0,19947.0,3437.0,,,,,,,291.0,,1049.0,9753.0,,752.0,,,,,28.0,,,4210.0,,1909.0,,11.0,,,64000.0,,80884.0,,,,,,,,960000.0,26353.0,,,,1064.0,,,,,,16742.0,141.0,,,2204.0,,,,1296.0,,,51321.0,,1500.0,
2020-04-30,70708.0,643.0,,,494.0,,,,,,40902.0,,,,,,,,,,,10333.0,,,,7137.0,13788.0,,9.0,30667.0,10.0,15553.0,1130855.0,,2318.0,,,,,,,,2.0,,,,,192.0,,91.0,1383.0,,8240.0,,,,,,,,,,,,,,,,200.0,,8351.0,4416.0,,3778.0,,,,,,,,,55317.0,,,1200.0,,4.0,,300.0,6825.0,,32.0,,,,,,,,,1530.0,,,3978.0,8571.0,,,104.0,,,4.0,485.0,,32993.0,3174.0,19.0,4003.0,,,15.0,,499.0,,1364.0,9570.0,,2561.0,,,,,8.0,,,,,22.0,,438.0,,,104491.0,,21315.0,,,,,,,,4.0,3641.0,,,,,531.0,,,,,13154.0,1076.0,200.0,,5571.0,,,,8.0,132504.0,,18882.0,,,
2020-05-31,41310.0,,,,,,,10.0,,,11606.0,,,,3540570.0,,,,,,,4656.0,,84.0,,16016.0,587.0,,246.0,1427.0,125.0,1278.0,593334.0,,2729.0,,,,728.0,,,,,,,,,119.0,,,311320.0,,,278.0,,,114.0,,7.0,221.0,,,,,,,,,82.0,,12434.0,1546309.0,,47.0,,,67.0,,,,,31606.0,140828.0,,,329.0,,,,,,,1293.0,,,,,336.0,,,,4.0,,,6695.0,14244.0,,,12198.0,,,164.0,213.0,,17045.0,6043.0,29.0,,,2.0,,100.0,277.0,47.0,53.0,341552.0,,,,,,,30.0,,191.0,1735.0,,25845.0,,,11.0,,443840.0,,76928.0,,,,,,,,,3872.0,,320.0,1525.0,,,,,288.0,,10540.0,117237.0,,,18233.0,70000.0,,,1732.0,,,11358.0,4.0,,
2020-06-30,34661.0,,,,,,,,,,,,9.0,3947.0,4132.0,,,,,,454.0,2961.0,,,,4375.0,2140.0,,188.0,508358.0,80.0,8108.0,60009.0,,2515.0,,,37.0,,,43.0,,,,,,,300.0,,,809.0,,,132.0,,,,,200.0,,,,,,967.0,,60.0,,67.0,14.0,5843.0,133295.0,,,,,,56.0,,,,,9652.0,,,,,,,500.0,27750.0,,,,,,,,,,,12025.0,,,21256.0,10880.0,,1905.0,49.0,,,,1272.0,,813.0,14863.0,,,18.0,173.0,3.0,,102.0,,58.0,9841.0,,,400.0,,,,157.0,282.0,,,,34555.0,,,,12681.0,7230.0,247.0,32029.0,,,,,,,,1140.0,654.0,,,,,,,,38.0,,,5267.0,948.0,365.0,22742.0,,,,121.0,,,13422.0,,,
